Date,open_interest_divergence.20,momentum.20,carry.20,retail_flow.20,foundational.20
07/05/2021,0.044495918,0.00342113,0.005370633,0.009575084,1.37%
08/05/2021,-0.014831839,0.019743841,0.047346219,-0.016048837,3.88%
09/05/2021,0.000562746,0.031370062,-0.028650943,0.024127623,0.37%
10/05/2021,-0.042262856,0.00035723,0.064250335,0.032562302,3.44%
11/05/2021,-0.003313668,0.031201454,-0.018770684,0.018514028,1.20%
12/05/2021,-0.053198476,-0.064319852,0.06682415,-0.007318973,-3.28%
13/05/2021,0.061516082,0.004253137,-0.073195169,0.026722898,-2.83%
14/05/2021,-0.005558157,0.061531786,0.007443998,0.044122632,4.94%
15/05/2021,-0.043917828,-0.000317592,-0.026658287,0.02038992,-0.99%
16/05/2021,0.022580613,0.010923959,0.001336325,0.00108124,1.28%
17/05/2021,-0.038093123,-0.03945317,0.005173855,0.010622758,-3.91%
18/05/2021,-0.047174156,0.051994655,-0.070836193,0.026924397,-1.14%
19/05/2021,-0.058969092,-0.007267583,0.019300145,-0.098126626,-2.83%
20/05/2021,0.076738328,-0.071668855,0.015918033,0.032412336,-6.46%
21/05/2021,-0.012831157,-0.032273927,-0.003196428,-0.028561183,-1.33%
22/05/2021,0.016298354,-0.027971928,0.061435542,0.002677536,2.51%
23/05/2021,0.037925074,0.005162879,0.022317947,0.026491134,5.39%
24/05/2021,0.001923068,-0.039816856,-0.000753239,-0.041442418,-9.37%
25/05/2021,0.025944371,-0.007446311,0.01090472,-0.009873509,-0.15%
26/05/2021,0.029291959,0.007206481,0.051253746,0.041526579,3.55%
27/05/2021,0.015834554,-0.021627597,-0.022455387,-0.020886226,-4.48%
28/05/2021,-0.00300476,-0.009942059,0.023045353,-0.044433764,0.54%
29/05/2021,-0.025967925,-0.010558955,-0.015345196,-0.02544858,-2.35%
30/05/2021,0.021500967,0.007968235,0.02373413,0.016555645,3.13%
31/05/2021,0.006391574,0.008992471,-0.023421172,0.047907425,0.87%
01/06/2021,0.023361355,0.005420216,-0.020355186,-0.023784477,-0.76%
02/06/2021,0.022787045,-0.017360471,-0.004705763,0.002656873,-1.79%
03/06/2021,0.02989503,-0.009211089,0.054597707,-0.037526184,2.78%
04/06/2021,-0.028019289,-0.001284473,-0.014567429,-0.00642737,-2.22%
05/06/2021,-0.009419673,-0.004766736,0.010111807,0.001504322,-0.73%
06/06/2021,-0.000309766,-0.005909917,-0.002939427,-0.007923676,-0.29%
07/06/2021,-0.000583886,0.031130425,0.014966673,-0.000430712,1.74%
08/06/2021,0.013838029,-0.00266315,-0.011742648,-0.01959847,-0.97%
09/06/2021,-0.005580068,0.003232613,-0.002894481,0.008443816,1.23%
10/06/2021,-0.038322337,0.009004836,-0.02591014,0.001477873,-0.79%
11/06/2021,-0.032785069,-0.005939806,-0.002884512,-0.003183596,-1.06%
